,child,parent,color
0,Overview,Machine_learning,red
1,History and relationships to other fields,Machine_learning,red
2,Theory,Machine_learning,red
3,Approaches,Machine_learning,red
4,Applications,Machine_learning,red
5,Limitations,Machine_learning,red
6,Model assessments,Machine_learning,red
7,Ethics,Machine_learning,red
8,Hardware,Machine_learning,red
9,Software,Machine_learning,red
10,Journals,Machine_learning,red
11,Conferences,Machine_learning,red
12,See also,Machine_learning,red
13,References,Machine_learning,red
14,Further reading,Machine_learning,red
15,External links,Machine_learning,red
16,Machine learning approaches,Overview,blue
17,Artificial intelligence,History and relationships to other fields,blue
18,Data mining,History and relationships to other fields,blue
19,Optimization,History and relationships to other fields,blue
20,Statistics,History and relationships to other fields,blue
21,Types of learning algorithms,Approaches,blue
22,Models,Approaches,blue
23,Training models,Approaches,blue
24,Bias,Limitations,blue
25,Free and open-source software,Software,blue
26,Proprietary software with free and open-source editions,Software,blue
27,Proprietary software,Software,blue
28,Supervised learning,Types of learning algorithms,green
29,Unsupervised learning,Types of learning algorithms,green
30,Semi-supervised learning,Types of learning algorithms,green
31,Reinforcement learning,Types of learning algorithms,green
32,Self learning,Types of learning algorithms,green
33,Feature learning,Types of learning algorithms,green
34,Sparse dictionary learning,Types of learning algorithms,green
35,Anomaly detection,Types of learning algorithms,green
36,Robot learning,Types of learning algorithms,green
37,Association rules,Types of learning algorithms,green
38,Artificial neural networks,Models,green
39,Decision trees,Models,green
40,Support vector machines,Models,green
41,Regression analysis,Models,green
42,Bayesian networks,Models,green
43,Genetic algorithms,Models,green
44,Federated learning,Training models,green
